Store_ID,Store_Name,Market,Head_Coach,OLO_QTY,Line_Config,CHIT_Config,Rev_Band,Latitude,Longitude,Location
73,Millennium Park,CHI,Tamara Greenup,2,19,19,34,41.88493314,-87.62492942,"41.8849331415331, -87.6249294166649"
78,Dearborn & Madison,CHI,Marquies Haynes,5,20,20,44,41.8825413,-87.62910233,"41.8825412984157, -87.6291023301576"
92,Willis Tower,CHI,Ramsess Salazar,5,21,21,27,41.87904073,-87.63588995,"41.8790407320029, -87.6358899455009"
109,North + Clybourn,CHI,Amy Mai (AC),4,22,22,10,41.91171835,-87.65087262,"41.9117183461923, -87.6508726185142"
55,River North,CHI,Natasha Richards-Scott,1,23,23,35,41.89329094,-87.62792077,"41.8932909352245, -87.6279207743361"
111,Penn Plaza,NYC,Cindy Rosado (AC),1,24,24,28,40.74906892,-73.99240983,"40.7490689213924, -73.9924098302069"
63,55th & Park,NYC,Donald Izquierdo,1,25,25,8,40.76070921,-73.97278626,"40.7607092091555, -73.9727862590421"
60,Gansevoort,NYC,Pedro Roque,5,26,26,37,40.73936595,-74.00590003,"40.7393659486684, -74.0059000320579"
75,Hudson Yards,NYC,Emad Nesiem ,2,27,27,49,40.75288131,-74.00166316,"40.7528813106739, -74.0016631608931"
36,Columbia U,NYC,Tara Green,1,28,28,18,40.8074647,-73.96490146,"40.807464698695, -73.9649014608907"
35,75th & Amsterdam,NYC,Manuel Henriquez,1,29,29,4,40.78045363,-73.9802091,"40.78045363313, -73.9802091032203"
49,85th & 3rd,NYC,Aisha Brown,5,30,30,37,40.77825731,-73.95483619,"40.7782573098408, -73.9548361878772"
87,91st & Broadway,NYC,Timothy Newton,1,31,31,23,40.79163836,-73.97371006,"40.7916383562209, -73.9737100590408"
53,Lenox Hill,NYC,Jonathan Roscoe,5,32,32,47,40.767343,-73.9567174,"40.7673429984848, -73.9567174013703"
62,Astor Place,NYC,Edward Baez,2,33,33,30,40.72988035,-73.99200646,"40.7298803542483, -73.9920064627446"
18,Nomad,NYC,Terry Armfield,1,34,34,24,40.74489419,-73.9885557,"40.7448941900052, -73.9885557032218"
42,Crystal City,DMV,George Silver,6,35,35,43,38.85458143,-77.05006105,"38.854581434402, -77.0500610456296"
48,Pentagon City,DMV,Luis Carpio Terrazas,3,36,36,2,38.86262727,-77.05610209,"38.8626272686075, -77.0561020879578"
